No;edad;sexo;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;FDMQTOTAL
1.0;21.0;1.0;2.0;2.0;4.0;2.0;1.0;2.0;3.0;2.0;3.0;2.0;2.0;4.0;2.0;4.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;4.0;3.0;3.0;3.0;2.0;3.0;3.0;4.0;80.0
2.0;23.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;3.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;4.0;2.0;1.0;1.0;50.0
3.0;20.0;1.0;2.0;1.0;4.0;2.0;2.0;3.0;3.0;1.0;3.0;2.0;4.0;3.0;2.0;3.0;2.0;4.0;3.0;2.0;1.0;2.0;2.0;3.0;1.0;4.0;3.0;3.0;2.0;2.0;3.0;4.0;3.0;79.0
4.0;21.0;1.0;2.0;3.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;3.0;3.0;2.0;4.0;1.0;2.0;1.0;4.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;4.0;1.0;3.0;2.0;1.0;1.0;62.0
5.0;21.0;1.0;2.0;3.0;3.0;3.0;1.0;2.0;4.0;2.0;3.0;1.0;4.0;3.0;2.0;3.0;2.0;4.0;2.0;2.0;4.0;2.0;4.0;2.0;3.0;4.0;3.0;4.0;2.0;2.0;3.0;2.0;2.0;83.0
6.0;23.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;1.0;2.0;1.0;3.0;2.0;2.0;4.0;2.0;3.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0;4.0;4.0;2.0;2.0;3.0;1.0;2.0;68.0
7.0;25.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;4.0;4.0;1.0;4.0;1.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;54.0
8.0;20.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;4.0;2.0;2.0;3.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;2.0;4.0;4.0;3.0;1.0;1.0;1.0;1.0;2.0;57.0
9.0;22.0;2.0;1.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;4.0;1.0;2.0;4.0;1.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;1.0;4.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;50.0
10.0;22.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;3.0;1.0;1.0;4.0;1.0;2.0;1.0;2.0;4.0;1.0;2.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;1.0;1.0;3.0;55.0
11.0;26.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;3.0;3.0;1.0;4.0;2.0;1.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0;3.0;3.0;1.0;1.0;2.0;3.0;2.0;2.0;64.0
12.0;20.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;4.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;4.0;1.0;2.0;1.0;1.0;4.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;59.0
13.0;37.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;3.0;2.0;1.0;3.0;1.0;2.0;1.0;2.0;4.0;2.0;2.0;1.0;2.0;4.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;57.0
14.0;22.0;1.0;2.0;2.0;4.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;4.0;2.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;65.0
15.0;27.0;1.0;3.0;2.0;4.0;3.0;1.0;3.0;4.0;3.0;1.0;3.0;4.0;2.0;2.0;4.0;2.0;2.0;2.0;1.0;4.0;3.0;2.0;1.0;3.0;4.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;72.0
16.0;21.0;2.0;3.0;3.0;2.0;4.0;3.0;3.0;4.0;2.0;1.0;1.0;1.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;4.0;3.0;4.0;1.0;4.0;4.0;4.0;85.0
17.0;20.0;2.0;1.0;2.0;4.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;4.0;4.0;1.0;4.0;1.0;2.0;1.0;1.0;4.0;2.0;2.0;1.0;1.0;4.0;3.0;2.0;1.0;2.0;1.0;1.0;1.0;58.0
18.0;30.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;1.0;2.0;2.0;3.0;73.0
19.0;33.0;2.0;4.0;4.0;3.0;4.0;3.0;3.0;1.0;4.0;1.0;3.0;0.0;4.0;2.0;4.0;3.0;2.0;3.0;3.0;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;90.0
20.0;20.0;2.0;3.0;2.0;3.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;63.0
21.0;23.0;1.0;2.0;3.0;3.0;2.0;2.0;2.0;3.0;2.0;1.0;2.0;3.0;2.0;2.0;4.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;73.0
22.0;23.0;1.0;2.0;2.0;4.0;2.0;2.0;1.0;4.0;1.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;69.0
23.0;21.0;1.0;2.0;1.0;2.0;4.0;1.0;2.0;1.0;1.0;2.0;2.0;2.0;3.0;2.0;4.0;1.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;1.0;2.0;2.0;4.0;2.0;2.0;2.0;2.0;2.0;65.0
24.0;21.0;2.0;2.0;2.0;4.0;1.0;1.0;1.0;3.0;1.0;2.0;2.0;4.0;2.0;1.0;4.0;2.0;1.0;1.0;1.0;4.0;1.0;2.0;2.0;1.0;4.0;3.0;2.0;1.0;1.0;2.0;1.0;2.0;61.0
25.0;16.0;2.0;2.0;2.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;1.0;4.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;54.0
26.0;20.0;2.0;4.0;3.0;4.0;2.0;2.0;3.0;2.0;2.0;2.0;4.0;3.0;3.0;2.0;4.0;3.0;2.0;1.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;4.0;4.0;86.0
27.0;22.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;3.0;1.0;3.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;72.0
28.0;22.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;3.0;2.0;1.0;2.0;3.0;1.0;1.0;4.0;1.0;4.0;4.0;4.0;4.0;2.0;2.0;1.0;2.0;4.0;4.0;1.0;2.0;4.0;2.0;2.0;2.0;72.0
29.0;20.0;1.0;3.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;3.0;2.0;1.0;2.0;3.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;71.0
30.0;20.0;2.0;3.0;2.0;3.0;1.0;2.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;1.0;2.0;1.0;1.0;2.0;1.0;3.0;1.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0;3.0;4.0;1.0;2.0;66.0
31.0;19.0;1.0;2.0;2.0;3.0;3.0;1.0;1.0;4.0;1.0;2.0;2.0;4.0;2.0;2.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;3.0;1.0;2.0;4.0;4.0;2.0;1.0;1.0;1.0;1.0;3.0;66.0
32.0;32.0;2.0;3.0;2.0;3.0;1.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;4.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;74.0
33.0;24.0;2.0;3.0;2.0;4.0;2.0;4.0;1.0;1.0;2.0;4.0;2.0;1.0;2.0;1.0;4.0;3.0;1.0;3.0;2.0;3.0;1.0;1.0;3.0;4.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;75.0
34.0;20.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;2.0;54.0
35.0;23.0;2.0;2.0;2.0;4.0;4.0;1.0;1.0;3.0;2.0;2.0;2.0;4.0;2.0;2.0;3.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;2.0;4.0;2.0;1.0;2.0;1.0;1.0;2.0;2.0;62.0
36.0;32.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;3.0;1.0;2.0;2.0;3.0;2.0;1.0;3.0;1.0;3.0;2.0;1.0;4.0;1.0;2.0;1.0;2.0;4.0;3.0;2.0;2.0;1.0;1.0;1.0;2.0;60.0
38.0;25.0;2.0;2.0;2.0;3.0;1.0;1.0;2.0;3.0;2.0;2.0;2.0;4.0;3.0;2.0;3.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;3.0;2.0;1.0;2.0;1.0;3.0;2.0;2.0;65.0
39.0;29.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;4.0;1.0;2.0;4.0;2.0;3.0;1.0;2.0;4.0;2.0;3.0;2.0;4.0;4.0;3.0;3.0;2.0;2.0;2.0;1.0;4.0;70.0
40.0;28.0;1.0;2.0;1.0;4.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;3.0;1.0;2.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;57.0
41.0;22.0;1.0;2.0;2.0;3.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;4.0;2.0;1.0;1.0;1.0;4.0;4.0;2.0;1.0;1.0;2.0;1.0;1.0;55.0
42.0;23.0;1.0;2.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;4.0;1.0;2.0;1.0;2.0;4.0;2.0;2.0;1.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;55.0
43.0;20.0;2.0;3.0;3.0;3.0;3.0;4.0;4.0;2.0;2.0;3.0;3.0;2.0;3.0;2.0;2.0;4.0;2.0;2.0;4.0;3.0;3.0;3.0;4.0;3.0;3.0;2.0;4.0;3.0;4.0;4.0;3.0;4.0;94.0
44.0;29.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;4.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;4.0;2.0;2.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;1.0;52.0
45.0;20.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;66.0
47.0;21.0;2.0;2.0;2.0;3.0;2.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;3.0;2.0;3.0;1.0;2.0;2.0;1.0;3.0;2.0;2.0;1.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;61.0
48.0;20.0;2.0;2.0;3.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;3.0;2.0;2.0;4.0;2.0;2.0;2.0;1.0;1.0;3.0;2.0;1.0;3.0;1.0;3.0;3.0;2.0;1.0;3.0;3.0;2.0;62.0
49.0;31.0;2.0;2.0;2.0;4.0;1.0;1.0;2.0;3.0;1.0;2.0;4.0;4.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;64.0
50.0;31.0;2.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;1.0;1.0;2.0;2.0;3.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0;1.0;65.0
51.0;25.0;2.0;3.0;0.0;0.0;2.0;2.0;1.0;3.0;0.0;3.0;2.0;0.0;2.0;1.0;4.0;1.0;1.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;3.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;54.0
52.0;21.0;1.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;67.0
53.0;20.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;41.0
54.0;21.0;1.0;3.0;2.0;2.0;2.0;1.0;2.0;3.0;1.0;4.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;2.0;78.0
55.0;20.0;2.0;3.0;4.0;2.0;2.0;1.0;2.0;4.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;1.0;2.0;2.0;2.0;4.0;2.0;3.0;3.0;2.0;2.0;2.0;4.0;2.0;3.0;3.0;1.0;3.0;76.0
56.0;22.0;2.0;2.0;2.0;3.0;2.0;1.0;1.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;1.0;2.0;2.0;2.0;3.0;2.0;3.0;1.0;2.0;3.0;2.0;2.0;3.0;1.0;3.0;2.0;3.0;69.0
57.0;29.0;2.0;2.0;2.0;4.0;1.0;2.0;1.0;4.0;1.0;1.0;4.0;4.0;2.0;1.0;4.0;2.0;4.0;1.0;4.0;4.0;1.0;2.0;2.0;2.0;4.0;3.0;1.0;1.0;2.0;2.0;1.0;2.0;71.0
58.0;0.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;4.0;4.0;2.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;45.0
59.0;19.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;1.0;4.0;2.0;2.0;2.0;3.0;2.0;4.0;4.0;3.0;4.0;2.0;2.0;3.0;4.0;2.0;4.0;4.0;85.0
60.0;25.0;1.0;2.0;2.0;3.0;2.0;1.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;1.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0
61.0;19.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;1.0;3.0;65.0
62.0;20.0;2.0;3.0;2.0;3.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;1.0;3.0;63.0
63.0;18.0;1.0;1.0;2.0;3.0;1.0;1.0;1.0;4.0;1.0;3.0;1.0;3.0;2.0;3.0;4.0;1.0;1.0;2.0;1.0;4.0;2.0;2.0;1.0;1.0;4.0;2.0;1.0;2.0;2.0;2.0;2.0;3.0;63.0
64.0;18.0;2.0;2.0;3.0;4.0;1.0;1.0;1.0;1.0;2.0;2.0;4.0;4.0;3.0;4.0;4.0;1.0;1.0;2.0;1.0;2.0;2.0;3.0;1.0;2.0;4.0;4.0;4.0;2.0;1.0;2.0;1.0;3.0;72.0
65.0;24.0;1.0;1.0;2.0;4.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;4.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;4.0;2.0;2.0;1.0;2.0;4.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;58.0
66.0;20.0;2.0;3.0;2.0;4.0;1.0;2.0;2.0;3.0;2.0;4.0;3.0;4.0;3.0;2.0;4.0;2.0;4.0;2.0;1.0;3.0;3.0;3.0;2.0;4.0;4.0;3.0;2.0;2.0;2.0;4.0;2.0;3.0;85.0
67.0;22.0;1.0;2.0;2.0;3.0;1.0;1.0;2.0;4.0;1.0;2.0;1.0;4.0;1.0;3.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;2.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;58.0
68.0;23.0;1.0;2.0;1.0;4.0;1.0;1.0;1.0;4.0;1.0;1.0;4.0;1.0;2.0;4.0;4.0;1.0;1.0;2.0;1.0;4.0;2.0;2.0;1.0;1.0;4.0;2.0;1.0;2.0;1.0;1.0;1.0;1.0;59.0
69.0;19.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;3.0;1.0;1.0;4.0;1.0;1.0;2.0;1.0;4.0;1.0;1.0;2.0;1.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;50.0
